TMEM43	GO:0071763
ADAMTS12	GO:0007160
ADAMTS12	GO:0016477
ADAMTS12	GO:0030167
ADAMTS12	GO:0032331
ADAMTS12	GO:0050727
ADAMTS12	GO:0051603
ADAMTS12	GO:0071347
ADAMTS12	GO:0071356
ADAMTS12	GO:0071773
ADAMTS12	GO:1901509
ADAMTS12	GO:1902203
ADAMTS12	GO:1902548
ADAMTS12	GO:2001113
MAGED2	GO:0007565
MAGED2	GO:0070294
BAD	GO:0006915
BAD	GO:0043065
BAD	GO:0043280
BAD	GO:0045862
BAD	GO:0045918
BAD	GO:0046902
BAD	GO:0046931
BAD	GO:0050679
BAD	GO:0071260
BAD	GO:0071316
BAD	GO:0071456
BAD	GO:0090200
BAD	GO:0097191
BAD	GO:0097193
BAD	GO:0097202
LGR5	GO:0090263
CAPZB	GO:0007010
CAPZB	GO:0022604
POFUT2	GO:0036066
POFUT2	GO:0051046
UBAC2	GO:0070972
UBAC2	GO:1904153
POLR2L	GO:0006366
STARD4	GO:0010873
STARD4	GO:0010879
STARD4	GO:0032367
STARD4	GO:0070508
STARD4	GO:0070859
CEMIP	GO:0007605
CEMIP	GO:0010800
CEMIP	GO:0030214
CEMIP	GO:0030335
CEMIP	GO:0051281
CEMIP	GO:0090314
CEMIP	GO:1900020
RHEB	GO:0032008
RHEB	GO:2000074
DBF4B	GO:0008284
DBF4B	GO:0010571
DBF4B	GO:0010971
CDX2	GO:0000122
MYL9	GO:0070527
INSRR	GO:0031532
INSRR	GO:0046777
INSRR	GO:0071469
HIGD1A	GO:0043066
BOLL	GO:0007126
BOLL	GO:0045948
PANX1	GO:0006812
PANX1	GO:0006816
PANX1	GO:0034214
PANX1	GO:0050718
SULT1E1	GO:0008210
SULT1E1	GO:0045600
SULT1E1	GO:0051923
NLRP8	GO:0070997
USP47	GO:0006284
USP47	GO:0006974
USP47	GO:0010972
USP47	GO:0030307
USP47	GO:0035520
USP47	GO:0042493
USP47	GO:0043066
USP47	GO:0043154
USP47	GO:0045892
LPCAT2	GO:0036151
DERA	GO:0046121
POU1F1	GO:0006355
POU1F1	GO:0045893
POU1F1	GO:0045944
BATF3	GO:0000122
WNT5A	GO:0000187
WNT5A	GO:0001837
WNT5A	GO:0001938
WNT5A	GO:0002741
WNT5A	GO:0007223
WNT5A	GO:0007257
WNT5A	GO:0008584
