from,to,weight,type,gene
b0004,b3654,1.000,obo1,b0004
b2926,b3654,1.000,obo1,b2926
b3983,b3993,1.000,obo1,b3983
b3982,b3997,1.000,obo1,b3982
b3981,b3993,1.000,obo1,b3981
b2517,b3997,1.000,obo1,b2517
b3986,b3997,1.000,obo1,b3986
b1435,b3997,1.000,obo1,b1435
b2953,b3654,1.000,obo1,b2953
b2518,b3990,1.000,obo1,b2518
b2952,b2500,1.000,obo1,b2952
b3734,b3993,1.000,obo1,b3734
b3735,b3993,1.000,obo1,b3735
b3731,b3993,1.000,obo1,b3731
b3732,b3993,1.000,obo1,b3732
b3733,b3993,1.000,obo1,b3733
b2601,b3654,1.000,obo1,b2601
b3987,b3993,1.000,obo1,b3987
b3454,b3654,1.000,obo1,b3454
b0313,b3654,1.000,obo1,b0313
b2996,b3992,1.000,obo1,b2996
b3992,b3430,0.750,obo2,b2996
b3430,b3981,0.500,obo1,b2996
b3981,b4096,0.250,obo2,b2996
b0311,b2500,1.000,obo1,b0311
b2993,b3992,1.000,obo1,b2993
b3992,b3430,0.750,obo2,b2993
b3430,b3981,0.500,obo1,b2993
b3981,b4096,0.250,obo2,b2993
b2990,b3992,1.000,obo1,b2990
b3992,b3430,0.750,obo2,b2990
b3430,b3981,0.500,obo1,b2990
b3981,b4096,0.250,obo2,b2990
b3513,b3981,1.000,obo1,b3513
b3981,b4096,0.500,obo2,b3513
b0894,b2500,1.000,obo1,b0894
b2147,b3654,1.000,obo1,b2147
b1099,b2500,1.000,obo1,b1099
b1953,b3981,1.000,obo1,b1953
b3981,b4096,0.500,obo2,b1953
b1807,b3997,1.000,obo1,b1807
b1276,b3981,1.000,obo1,b1276
b3981,b4096,0.500,obo2,b1276
b0775,b2500,1.000,obo1,b0775
b0777,b2500,1.000,obo1,b0777
b4219,b3342,1.000,obo1,b4219
b4352,b2500,1.000,obo1,b4352
b3172,b2557,1.000,obo1,b3172
b3170,b3993,1.000,obo1,b3170
b3175,b3993,1.000,obo1,b3175
b1652,b3993,1.000,obo1,b1652
b1976,b2557,1.000,obo1,b1976
b3070,b3987,1.000,obo1,b3070
b3987,b2259,0.500,obo2,b3070
b0871,b3981,1.000,obo1,b0871
b3981,b4096,0.500,obo2,b0871
b3318,b3993,1.000,obo1,b3318
b3256,b3993,1.000,obo1,b3256
b3255,b3993,1.000,obo1,b3255
b3704,b3993,1.000,obo1,b3704
b3701,b2500,1.000,obo1,b3701
b3317,b3993,1.000,obo1,b3317
b3314,b3993,1.000,obo1,b3314
b3702,b3654,1.000,obo1,b3702
b2728,b3992,1.000,obo1,b2728
b3992,b3430,0.750,obo2,b2728
b3430,b3981,0.500,obo1,b2728
b3981,b4096,0.250,obo2,b2728
b0685,b3993,1.000,obo1,b0685
b1778,b3987,1.000,obo1,b1778
b3987,b2259,0.500,obo2,b1778
b3385,b3654,1.000,obo1,b3385
b2319,b3997,1.000,obo1,b2319
b2255,b3654,1.000,obo1,b2255
b3671,b3654,1.000,obo1,b3671
b3670,b2500,1.000,obo1,b3670
b1482,b3981,1.000,obo1,b1482
b3981,b4096,0.500,obo2,b1482
b4188,b3342,1.000,obo1,b4188
b0171,b3993,1.000,obo1,b0171
b0356,b2500,1.000,obo1,b0356
b3400,b0440,1.000,obo1,b3400
b0440,b0726,0.667,obo2,b3400
b0726,b3990,0.333,obo1,b3400
b3958,b2557,1.000,obo1,b3958
b2130,b3654,1.000,obo1,b2130
b2421,b2557,1.000,obo1,b2421
b2608,b3993,1.000,obo1,b2608
b2135,b3342,1.000,obo1,b2135
b3408,b2500,1.000,obo1,b3408
b0197,b0440,1.000,obo1,b0197
b0440,b0726,0.667,obo2,b0197
b0726,b3990,0.333,obo1,b0197
b0058,b2500,1.000,obo1,b0058
b0059,b3654,1.000,obo1,b0059
b3811,b2500,1.000,obo1,b3811
b3810,b2500,1.000,obo1,b3810
b2951,b2500,1.000,obo1,b2951
b0199,b0440,1.000,obo1,b0199
b0440,b0726,0.667,obo2,b0199
b0726,b3990,0.333,obo1,b0199
b0052,b3654,1.000,obo1,b0052
b0453,b3981,1.000,obo1,b0453
b3981,b4096,0.500,obo2,b0453
b0903,b0440,1.000,obo1,b0903
b0440,b0726,0.667,obo2,b0903
b0726,b3990,0.333,obo1,b0903
b3495,b3342,1.000,obo1,b3495
b3543,b3654,1.000,obo1,b3543
b2041,b3941,1.000,obo1,b2041
b2729,b3992,1.000,obo1,b2729
b3992,b3430,0.750,obo2,b2729
b3430,b3981,0.500,obo1,b2729
b3981,b4096,0.250,obo2,b2729
b2726,b3992,1.000,obo1,b2726
b3992,b3430,0.750,obo2,b2726
b3430,b3981,0.500,obo1,b2726
b3981,b4096,0.250,obo2,b2726
b1705,b3987,1.000,obo1,b1705
b3987,b2259,0.500,obo2,b1705
b0399,b2500,1.000,obo1,b0399
b3923,b3342,1.000,obo1,b3923
b3922,b3981,1.000,obo1,b3922
b3981,b4096,0.500,obo2,b3922
b2032,b3941,1.000,obo1,b2032
b2297,b3654,1.000,obo1,b2297
b1603,b3654,1.000,obo1,b1603
b2997,b3992,1.000,obo1,b2997
b3992,b3430,0.750,obo2,b2997
b3430,b3981,0.500,obo1,b2997
b3981,b4096,0.250,obo2,b2997
b1286,b2500,1.000,obo1,b1286
b1287,b2557,1.000,obo1,b1287
b0835,b3993,1.000,obo1,b0835
b1938,b0440,1.000,obo1,b1938
b0440,b0726,0.667,obo2,b1938
b0726,b3990,0.333,obo1,b1938
b1939,b0440,1.000,obo1,b1939
b0440,b0726,0.667,obo2,b1939
b0726,b3990,0.333,obo1,b1939
b1117,b3654,1.000,obo1,b1117
b1831,b3654,1.000,obo1,b1831
b1836,b3981,1.000,obo1,b1836
b3981,b4096,0.500,obo2,b1836
b1302,b2500,1.000,obo1,b1302
b3191,b2500,1.000,obo1,b3191
b4383,b0440,1.000,obo1,b4383
b0440,b0726,0.667,obo2,b4383
b0726,b3990,0.333,obo1,b4383
b1732,b3981,1.000,obo1,b1732
b3981,b4096,0.500,obo2,b1732
b4266,b2500,1.000,obo1,b4266
b1945,b0440,1.000,obo1,b1945
b0440,b0726,0.667,obo2,b1945
b0726,b3990,0.333,obo1,b1945
b2809,b3981,1.000,obo1,b2809
b3981,b4096,0.500,obo2,b2809
b1235,b2500,1.000,obo1,b1235
b0884,b3993,1.000,obo1,b0884
b1941,b0440,1.000,obo1,b1941
b0440,b0726,0.667,obo2,b1941
b0726,b3990,0.333,obo1,b1941
b0882,b3981,1.000,obo1,b0882
b3981,b4096,0.500,obo2,b0882
b1943,b0440,1.000,obo1,b1943
b0440,b0726,0.667,obo2,b1943
b0726,b3990,0.333,obo1,b1943
b1942,b0440,1.000,obo1,b1942
b0440,b0726,0.667,obo2,b1942
b0726,b3990,0.333,obo1,b1942
b0738,b3993,1.000,obo1,b0738
b4346,b2557,1.000,obo1,b4346
b3362,b3981,1.000,obo1,b3362
b3981,b4096,0.500,obo2,b3362
b3361,b3981,1.000,obo1,b3361
b3981,b4096,0.500,obo2,b3361
b0286,b3654,1.000,obo1,b0286
b0014,b2557,1.000,obo1,b0014
b0015,b2557,1.000,obo1,b0015
b2660,b3981,1.000,obo1,b2660
b3981,b4096,0.500,obo2,b2660
b2662,b3981,1.000,obo1,b2662
b3981,b4096,0.500,obo2,b2662
b1423,b3981,1.000,obo1,b1423
b3981,b4096,0.500,obo2,b1423
b3741,b3997,1.000,obo1,b3741
b3740,b3993,1.000,obo1,b3740
b0948,b3993,1.000,obo1,b0948
b3742,b3997,1.000,obo1,b3742
b3745,b2500,1.000,obo1,b3745
b0121,b3993,1.000,obo1,b0121
b0088,b2500,1.000,obo1,b0088
b3749,b2500,1.000,obo1,b3749
b0085,b2500,1.000,obo1,b0085
b0083,b2500,1.000,obo1,b0083
b0082,b2500,1.000,obo1,b0082
b2009,b3342,1.000,obo1,b2009
b2167,b2500,1.000,obo1,b2167
b2001,b3654,1.000,obo1,b2001
b2169,b3654,1.000,obo1,b2169
b2980,b3990,1.000,obo1,b2980
b2869,b3981,1.000,obo1,b2869
b3981,b4096,0.500,obo2,b2869
b1881,b0440,1.000,obo1,b1881
b0440,b0726,0.667,obo2,b1881
b0726,b3990,0.333,obo1,b1881
b1884,b0440,1.000,obo1,b1884
b0440,b0726,0.667,obo2,b1884
b0726,b3990,0.333,obo1,b1884
b3964,b3654,1.000,obo1,b3964
b1887,b0440,1.000,obo1,b1887
b0440,b0726,0.667,obo2,b1887
b0726,b3990,0.333,obo1,b1887
b3992,b3654,1.000,obo1,b3992
b0726,b3990,1.000,obo1,b0726
b0895,b2500,1.000,obo1,b0895
b1080,b0440,1.000,obo1,b1080
b0440,b0726,0.667,obo2,b1080
b0726,b3990,0.333,obo1,b1080
b1082,b0440,1.000,obo1,b1082
b0440,b0726,0.667,obo2,b1082
b0726,b3990,0.333,obo1,b1082
b0408,b2500,1.000,obo1,b0408
b1226,b3654,1.000,obo1,b1226
b1088,b3993,1.000,obo1,b1088
b1089,b3993,1.000,obo1,b1089
b1166,b2500,1.000,obo1,b1166
b2480,b3654,1.000,obo1,b2480
b2764,b2500,1.000,obo1,b2764
b0029,b3654,1.000,obo1,b0029
b1264,b3654,1.000,obo1,b1264
b3541,b3654,1.000,obo1,b3541
b3540,b3654,1.000,obo1,b3540
b1261,b2500,1.000,obo1,b1261
b1262,b2500,1.000,obo1,b1262
b3065,b3993,1.000,obo1,b3065
b1864,b2500,1.000,obo1,b1864
b2677,b2500,1.000,obo1,b2677
b1900,b2500,1.000,obo1,b1900
b2675,b2500,1.000,obo1,b2675
b4126,b3342,1.000,obo1,b4126
b4127,b3342,1.000,obo1,b4127
b0115,b2500,1.000,obo1,b0115
b4081,b2557,1.000,obo1,b4081
b0116,b3654,1.000,obo1,b0116
b1468,b3654,1.000,obo1,b1468
b1744,b3990,1.000,obo1,b1744
b1748,b3990,1.000,obo1,b1748
b1467,b2500,1.000,obo1,b1467
b0595,b3987,1.000,obo1,b0595
b3987,b2259,0.500,obo2,b0595
b0594,b3987,1.000,obo1,b0594
b3987,b2259,0.500,obo2,b0594
b0596,b3987,1.000,obo1,b0596
b3987,b2259,0.500,obo2,b0596
b0607,b3981,1.000,obo1,b0607
b3981,b4096,0.500,obo2,b0607
b2283,b3990,1.000,obo1,b2283
b3431,b3981,1.000,obo1,b3431
b3981,b4096,0.500,obo2,b3431
b2129,b2500,1.000,obo1,b2129
b2286,b3990,1.000,obo1,b2286
b2285,b3990,1.000,obo1,b2285
b0431,b3990,1.000,obo1,b0431
