from,to,weight,type,gene
b3458,b1945,0.857,obo1,b3458
b1945,b1587,0.714,obo2,b3458
b1587,b2125,0.571,obo1,b3458
b2125,b2014,0.429,obo2,b3458
b2014,b2752,0.286,obo1,b3458
b2752,b2416,0.143,obo2,b3458
b2416,b2752,0.000,obo1,b3458
b0003,b1444,0.500,obo1,b0003
b1444,b0003,0.000,obo2,b0003
b0002,b2185,0.857,obo1,b0002
b2185,b0285,0.714,obo2,b0002
b0285,b0284,0.571,obo1,b0002
b0284,b1632,0.429,obo2,b0002
b1632,b1883,0.286,obo1,b0002
b1883,b1224,0.143,obo2,b0002
b1224,b1883,0.000,obo1,b0002
b2925,b0860,0.833,obo1,b2925
b0860,b1493,0.667,obo2,b2925
b1493,b2903,0.500,obo1,b2925
b2903,b4188,0.333,obo2,b2925
b4188,b2203,0.167,obo1,b2925
b2203,b4188,0.000,obo2,b2925
b3451,b3153,0.800,obo1,b3451
b3153,b1276,0.600,obo2,b3451
b1276,b1074,0.400,obo1,b3451
b1074,b1888,0.200,obo2,b3451
b1888,b3153,0.000,obo1,b3451
b3708,b0903,0.875,obo1,b3708
b0903,b1519,0.750,obo2,b3708
b1519,b3625,0.625,obo1,b3708
b3625,b1134,0.500,obo2,b3708
b1134,b3312,0.375,obo1,b3708
b3312,b0419,0.250,obo2,b3708
b0419,b0523,0.125,obo1,b3708
b0523,b0419,0.000,obo2,b3708
b3455,b2569,0.800,obo1,b3455
b2569,b1767,0.600,obo2,b3455
b1767,b0003,0.400,obo1,b3455
b0003,b1444,0.200,obo2,b3455
b1444,b0003,0.000,obo1,b3455
b3454,b3983,0.667,obo1,b3454
b3983,b1818,0.333,obo2,b3454
b1818,b3983,0.000,obo1,b3454
b3457,b3382,0.500,obo1,b3457
b3382,b3457,0.000,obo2,b3457
b3456,b3297,0.857,obo1,b3456
b3297,b1090,0.714,obo2,b3456
b1090,b2038,0.571,obo1,b3456
b2038,b2423,0.429,obo2,b3456
b2423,b4072,0.286,obo1,b3456
b4072,b1864,0.143,obo2,b3456
b1864,b2038,0.000,obo1,b3456
b3810,b2037,0.833,obo1,b3810
b2037,b1864,0.667,obo2,b3810
b1864,b2038,0.500,obo1,b3810
b2038,b2423,0.333,obo2,b3810
b2423,b4072,0.167,obo1,b3810
b4072,b1864,0.000,obo2,b3810
b4072,b1864,0.750,obo1,b4072
b1864,b2038,0.500,obo2,b4072
b2038,b2423,0.250,obo1,b4072
b2423,b4072,0.000,obo2,b4072
b1536,b1197,0.500,obo1,b1536
b1197,b1536,0.000,obo2,b1536
b4071,b1444,0.667,obo1,b4071
b1444,b0003,0.333,obo2,b4071
b0003,b1444,0.000,obo1,b4071
b1530,b1286,0.750,obo1,b1530
b1286,b0440,0.500,obo2,b1530
b0440,b2035,0.250,obo1,b1530
b2035,b0440,0.000,obo2,b1530
b0419,b0523,0.500,obo1,b0419
b0523,b0419,0.000,obo2,b0419
b3510,b1779,0.500,obo1,b3510
b1779,b3510,0.000,obo2,b3510
b3203,b1286,0.750,obo1,b3203
b1286,b0440,0.500,obo2,b3203
b0440,b2035,0.250,obo1,b3203
b2035,b0440,0.000,obo2,b3203
b2199,b2600,0.857,obo1,b2199
b2600,b2281,0.714,obo2,b2199
b2281,b1628,0.571,obo1,b2199
b1628,b3959,0.429,obo2,b2199
b3959,b0118,0.286,obo1,b2199
b0118,b0863,0.143,obo2,b2199
b0863,b2600,0.000,obo1,b2199
b2198,b2234,0.941,obo1,b2198
b2234,b2032,0.882,obo2,b2198
b2032,b0311,0.824,obo1,b2198
b0311,b2597,0.765,obo2,b2198
b2597,b0729,0.706,obo1,b2198
b0729,b1254,0.647,obo2,b2198
b1254,b1129,0.588,obo1,b2198
b1129,b4119,0.529,obo2,b2198
b4119,b0726,0.471,obo1,b2198
b0726,b3748,0.412,obo2,b2198
b3748,b2341,0.353,obo1,b2198
b2341,b2309,0.294,obo2,b2198
b2309,b2287,0.235,obo1,b2198
b2287,b1076,0.176,obo2,b2198
b1076,b0003,0.118,obo1,b2198
b0003,b1444,0.059,obo2,b2198
b1444,b0003,0.000,obo1,b2198
b2197,b1039,0.833,obo1,b2197
b1039,b2137,0.667,obo2,b2197
b2137,b2875,0.500,obo1,b2197
b2875,b3599,0.333,obo2,b2197
b3599,b1583,0.167,obo1,b2197
b1583,b2197,0.000,obo2,b2197
b0199,b3280,0.750,obo1,b0199
b3280,b2844,0.500,obo2,b0199
b2844,b0120,0.250,obo1,b0199
b0120,b2844,0.000,obo2,b0199
b0198,b0866,0.750,obo1,b0198
b0866,b1602,0.500,obo2,b0198
b1602,b1000,0.250,obo1,b0198
b1000,b1602,0.000,obo2,b0198
b3734,b4051,0.800,obo1,b3734
b4051,b2020,0.600,obo2,b3734
b2020,b4045,0.400,obo1,b3734
b4045,b2019,0.200,obo2,b3734
b2019,b4045,0.000,obo1,b3734
b3735,b2241,0.500,obo1,b3735
b2241,b3735,0.000,obo2,b3735
b0522,b2150,0.875,obo1,b0522
b2150,b2796,0.750,obo2,b0522
b2796,b3384,0.625,obo1,b0522
b3384,b0926,0.500,obo2,b0522
b0926,b1849,0.375,obo1,b0522
b1849,b1444,0.250,obo2,b0522
b1444,b0003,0.125,obo1,b0522
b0003,b1444,0.000,obo2,b0522
b0523,b0419,0.500,obo1,b0523
b0419,b0523,0.000,obo2,b0523
b0524,b2204,0.800,obo1,b0524
b2204,b3292,0.600,obo2,b0524
b3292,b0861,0.400,obo1,b0524
b0861,b1921,0.200,obo2,b0524
b1921,b0861,0.000,obo1,b0524
b3731,b3650,0.750,obo1,b3731
